order_id,order_date,city,channel,category,quantity,unit_price,discount,order_status,revenue
1001,2025-01-03,上海,App,数码,1,6999,300.0,已完成,6699.0
1002,2025-01-05,北京,小程序,家电,2,1299,0.0,已完成,2598.0
1003,2025-01-08,深圳,App,日用,4,89,10.0,已完成,346.0
1004,2025-01-12,杭州,门店,食品,8,35,0.0,已完成,280.0
1005,2025-02-02,上海,直播,美妆,3,299,50.0,已完成,847.0
1006,2025-02-05,北京,App,数码,1,3999,200.0,退款,3799.0
1007,2025-02-16,广州,门店,家电,1,2599,0.0,已完成,2599.0
1008,2025-03-01,深圳,小程序,食品,10,28,5.0,已完成,275.0
1009,2025-03-03,杭州,App,美妆,2,459,30.0,已完成,888.0
1010,2025-03-18,上海,直播,数码,1,5299,500.0,已完成,4799.0
1011,2025-03-20,北京,App,日用,6,79,0.0,已完成,474.0
1012,2025-04-02,广州,门店,食品,12,32,0.0,已完成,384.0
1013,2025-04-09,深圳,App,家电,1,2899,100.0,已完成,2799.0
1014,2025-04-16,杭州,直播,美妆,4,219,20.0,已完成,856.0
1015,2025-04-21,上海,小程序,日用,5,99,0.0,已完成,495.0
1015,2025-04-21,上海,小程序,日用,5,99,0.0,已完成,495.0
