date,temp_max,temp_min,precipitation,wind
2025-01-01,9.0,12.0,8.8,4.1
2025-01-02,22.0,9.0,0.2,4.1
2025-01-03,31.0,14.0,0.0,3.2
2025-01-04,17.0,11.0,8.8,1.8
2025-01-05,13.0,17.0,3.2,3.2
2025-01-06,,20.0,0.0,1.8
2025-01-07,31.0,22.0,0.2,
2025-01-08,23.0,21.0,0.0,2.5
2025-01-09,9.0,24.0,1.5,2.5
2025-01-10,28.0,24.0,,2.5
2025-01-11,21.0,24.0,0.2,3.2
2025-01-12,25.0,9.0,8.8,
2025-01-13,13.0,5.0,0.0,1.8
2025-01-14,13.0,11.0,1.5,4.1
2025-01-15,26.0,9.0,0.0,1.8
2025-01-16,23.0,-3.0,8.8,4.1
2025-01-17,6.0,21.0,0.0,1.8
2025-01-18,10.0,3.0,0.0,
2025-01-19,,5.0,1.5,4.1
2025-01-20,5.0,20.0,1.5,3.2
2025-01-21,24.0,-3.0,8.8,1.8
2025-01-22,23.0,8.0,,1.8
2025-01-23,4.0,4.0,0.0,4.1
2025-01-24,26.0,20.0,0.2,3.2
2025-01-25,14.0,7.0,0.0,3.2
2025-01-26,32.0,15.0,3.2,
2025-01-27,8.0,13.0,0.0,3.2
2025-01-28,4.0,4.0,0.0,3.2
2025-01-29,34.0,-1.0,0.2,3.2
2025-01-30,30.0,-1.0,0.0,2.5
2025-01-31,23.0,-3.0,0.0,
2025-02-01,3.0,23.0,0.0,1.8
2025-02-02,14.0,1.0,1.5,4.1
2025-02-03,28.0,6.0,8.8,1.8
2025-02-04,24.0,3.0,,
2025-02-05,31.0,22.0,3.2,4.1
2025-02-06,14.0,5.0,0.0,
2025-02-07,,24.0,0.0,3.2
2025-02-08,19.0,3.0,0.2,4.1
2025-02-09,29.0,5.0,8.8,3.2
2025-02-10,29.0,4.0,0.0,1.8
2025-02-11,33.0,8.0,3.2,1.8
2025-02-12,12.0,-2.0,1.5,4.1
2025-02-13,34.0,-3.0,0.0,4.1
2025-02-14,30.0,12.0,8.8,
2025-02-15,30.0,19.0,,
2025-02-16,18.0,19.0,1.5,3.2
2025-02-17,17.0,20.0,,4.1
2025-02-18,32.0,1.0,0.2,1.8
2025-02-19,32.0,-1.0,0.2,
2025-02-20,17.0,8.0,0.0,
2025-02-21,32.0,4.0,,1.8
2025-02-22,21.0,18.0,8.8,
2025-02-23,14.0,23.0,3.2,3.2
2025-02-24,25.0,-1.0,1.5,4.1
2025-02-25,22.0,-3.0,0.0,1.8
2025-02-26,34.0,-1.0,8.8,4.1
2025-02-27,27.0,1.0,8.8,
2025-02-28,5.0,11.0,0.2,
2025-03-01,7.0,10.0,,1.8
2025-03-02,21.0,-1.0,0.0,3.2
2025-03-03,9.0,-3.0,0.0,2.5
2025-03-04,23.0,1.0,1.5,1.8
2025-03-05,11.0,22.0,0.2,2.5
2025-03-06,9.0,19.0,8.8,2.5
2025-03-07,20.0,10.0,3.2,3.2
2025-03-08,6.0,3.0,0.2,2.5
2025-03-09,27.0,23.0,1.5,2.5
2025-03-10,30.0,5.0,1.5,3.2
2025-03-11,16.0,11.0,0.2,2.5
2025-03-12,20.0,11.0,1.5,2.5
2025-03-13,28.0,22.0,0.2,2.5
2025-03-14,11.0,6.0,0.0,1.8
2025-03-15,28.0,24.0,0.2,1.8
2025-03-16,23.0,9.0,,1.8
2025-03-17,4.0,15.0,0.2,3.2
2025-03-18,22.0,3.0,1.5,
2025-03-19,30.0,13.0,,2.5
2025-03-20,17.0,16.0,1.5,2.5
2025-03-21,30.0,0.0,0.0,3.2
2025-03-22,9.0,1.0,0.0,2.5
2025-03-23,14.0,19.0,,1.8
2025-03-24,31.0,3.0,0.0,
2025-03-25,10.0,9.0,0.0,4.1
2025-03-26,17.0,11.0,0.2,2.5
2025-03-27,5.0,7.0,1.5,1.8
2025-03-28,16.0,0.0,0.0,4.1
2025-03-29,19.0,9.0,0.0,
2025-03-30,6.0,3.0,0.0,4.1
2025-03-31,20.0,23.0,,1.8
2025-04-01,10.0,15.0,,4.1
2025-04-02,6.0,18.0,8.8,3.2
2025-04-03,4.0,24.0,0.0,4.1
2025-04-04,32.0,-2.0,0.2,2.5
2025-04-05,8.0,6.0,,2.5
2025-04-06,24.0,9.0,1.5,3.2
2025-04-07,12.0,21.0,0.0,1.8
2025-04-08,6.0,17.0,0.0,2.5
2025-04-09,24.0,2.0,1.5,
2025-04-10,31.0,24.0,1.5,2.5
2025-04-11,33.0,24.0,0.0,2.5
2025-04-12,20.0,8.0,0.0,1.8
2025-04-13,28.0,8.0,0.0,4.1
2025-04-14,14.0,16.0,8.8,2.5
2025-04-15,4.0,7.0,1.5,3.2
2025-04-16,12.0,22.0,3.2,4.1
2025-04-17,32.0,19.0,3.2,
2025-04-18,6.0,24.0,0.2,1.8
2025-04-19,16.0,21.0,,
2025-04-20,33.0,3.0,0.0,4.1
2025-04-21,18.0,-3.0,0.0,4.1
2025-04-22,17.0,-3.0,0.2,4.1
2025-04-23,10.0,21.0,0.2,
2025-04-24,16.0,23.0,0.2,4.1
2025-04-25,25.0,21.0,1.5,
2025-04-26,30.0,16.0,8.8,4.1
2025-04-27,27.0,9.0,0.0,3.2
2025-04-28,32.0,5.0,1.5,4.1
2025-04-29,10.0,-1.0,0.2,
2025-04-30,23.0,3.0,0.0,2.5
